"id","restaurant","Review","Price","web","Writer","VisitDate"
11,"ASUKA NABE + SHABU SHABU","This distinctive hot-pot restaurant offers Nara-style Asuka broth, a centuries-old recipe that combines chicken broth, milk, honey and miso. It's a subtle flavor, so if you've got a yen for something more lively, consider a spicy or curry version; an umakara broth of chicken broth, chilies and honey; or a wafu broth of ahi, shoyu, mirin, konbu and sake. A new hit is the paitan spicy garlic broth. Next, what to cook? A kalbi beef and pork shabu shabu set, which comes with the standard tofu, noodles and vegetables, is popular. The Asuka Nabe set comprises a variety of meats, vegetables and seafood the Yose Nabe set ups the ante on the seafood. Or, customize your ingredients with an extensive array of vegetables and meats, including popular selections of Angus prime rib-eye and Kobe beef.","$$$","www.asukanabe.com",,
12,"AZURE","Diners at The Royal Hawaiian hotel's flagship restaurant, Azure, face a dilemma: Is it better to give one's self over to the lure of outside cabana dining, so close to the shore that the splash of waves on the beach can be heard, or to enjoy the chill sophistication of the Morocco-inspired restaurant? Once that choice is surmounted, it's all smooth sailing. Control of the kitchen has been passed to young up-and-comer Shaymus Alwin, a protege of former chef de cuisine Jon Matsubara, and Alwin has continued Azure's emphasis on contemporary technique, ultra-fresh fare and local ingredients. The menu offers temptations such as butter-poached beef from Hawaii Ranchers, and Azure's Royal Papa'aina tasting menu delivers highlight after highlight - including hamachi crudo with American caviar, duck breast served ""under smoke"" and confit abalone with pork headcheese tonkatsu.","$$$$","www.azurewaikiki.com",,
13,"BACI BISTRO","Since 1997, chef Reza Azeri has been building a fan base that continues to grow, with his Italian-inspired European cuisine served in Kailua. While longtime customers undoubtedly have their favorites - these include lobster ravioli; Gamberetti Marinati alla Griglia, an appetizer of charcoal shrimp, lime and feta cheese and Saltimbocca di Vitello, veal layers with fresh mozzarella, sage and prosciutto sauteed in white-wine sauce â€” the latest rage is truffle gnocchi, a special that keeps diners coming back for more. For a perfect ending, devotees of the bistro finish their meals with mascarpone cheesecake. Dinner seats are filled every evening, so reservations are highly recommended. Take note: On Mondays, enjoy 25 percent off virtually everything, even drinks.","$$-$$$","www.bacibistro.com",,
14,"BANZAI SUSHI BAR","This popular Haleiwa eatery, featuring ""tropical Japanese fusion sushi"" by chef Hide Takahashi, has put the spotlight on hamachi, a much beloved favorite. A new hit is a hamachi aburi roll that serves the fish seared with cucumber and avocado and topped with onion, sesame seeds, soy sauce and spicy mayo. A hamachi entree delivers the fish baked and served with fondue sauce. On the vegetable front is Spinach Gomai, blanched spinach served cold with sweet sesame dressing. Along with all these new favorites is a classic, the Maui Wowi, a riceless roll. As always, the produce here is organic and sourced from North Shore farms, and the restaurant continues to be a go-to venue for vegans and vegetarians. For those who want to relax, check out Banzai's happy hour, now 5 to 6 p.m. Mondays to Thursdays, and partake of the extensive sake selection.","$$","www.banzaisushibarÂ­hawaii.com",,
15,"BEACHHOUSE AT THE MOANA","Surf and turf partner to wonderful effect at the historic Moana Surfrider's premier restaurant. Wild blue ocean meets refined Victorian architecture, and fine steakhouse fare marries fresh seafood and island flair. If you're looking for alfresco fine dining, the Beachhouse is a prime choice. Standout dishes include Snake River Farms Black Label American Wagyu New York Strip (steak lovers know this is top grade), Australian rack of lamb, and stuffed oysters with lomi tomato and luau spinach. Customers also love the wagyu beef steak tartare, roasted bone marrow and foie gras toast with caramelized onion and blackberry jam. Take it all in while enjoying front-row views of Waikiki Beach, Diamond Head and the sunset.","$$$$","www.beachhousewaikiki.com",,
16,"BERNINI HONOLULU","Alongside praiseworthy standard fare such as Ricci di Mare sea urchin pasta, King Crab Linguine and Vongole Bianco clam pasta, Bernini now presents seasonal menus four times a year. The special menus comprise a few appetizers, a couple of pasta dishes, a pizza, a main course and a fish special. Expect these to further the restaurant's reputation for executing beautifully balanced dishes to perfection. Other favorites: Crispy roast chicken, and panna cotta with white-wine gelee and fruit.","$$$","www.berninihonolulu.com",,
17,"BEVY","Bevy is a tasteful yet wallet-conscious bastion of quality and service in Kakaako, serving as a trendsetter for the budding district. Attentive to detail and precise in its preparation and service of both food and cocktails, the bar and kitchen are one of a kind, filling a gap left by the late, lamented thirtyninehotel, from which co-owner Christian Self launched in 2013. Self is a master of craft cocktails, mixing up his own recipes and making this a citywide destination for drinks, served in a dark, urban room distinguished for its DIY and globally sourced decor. Chef Petra Lindeson joined Bevy in June 2014 and created a fresh tapas menu for the establishment, including house-marinated olives, Gambas al Ajillo (shrimp in garlic) and an irresistible Tres Quesos (manchego, pecorino romano and sharp cheddar cheeses inside a warm, flavorful puff). True to Bevy's individualistic style, Lindeson also mixes in a few refreshing Scandinavian specialties - house-made gravlax, Kšttbullar (meatballs) and lingonberry butter among them. The bar celebrated a first anniversary in September with a party featuring the tasty, free-thinking DJs who also find a home here; let's hope Bevy thrives to hold down Kakaako for many years to come.","$-$$","www.bevybar.com",,
18,"BILLS SYDNEY","Australian chef, restaurateur and author Bill Granger opened his first U.S. restaurant, bills Sydney, off the main strip of Kalakaua Avenue earlier this year. He brought with him a menu that reflects an easygoing and modern nature that fits perfectly with Hawaii's casual cuisine. The spacious, two-story restaurant showcases simple contemporary selections - ricotta hot cakes with honeycomb butter; sweet corn fritters with a bacon and avocado salsa; fish curry with butternut squash, topped with cucumber and coriander relish. A bakery selection includes organic sourdough or rye toast with a choice of several jams, or the traditional Aussie condiment - Vegemite. Locally inspired dishes include fried brown rice with crab, chorizo and kim chee; and ahi poke with avocado, cherry tomatoes and sea asparagus. If you're planning a visit, parking could be a problem. But if you can snag one of the stalls on the street, then good on ya.","$-$$","www.billshawaii.com",,
19,"BLT STEAK","This restaurant inside the Trump International Hotel Waikiki, part of the Esquared Hospitality chain, offers attractive menu choices in a clubby, urbane setting, with low tables and leather-upholstered seating. It's busy and friendly, with closely grouped tables â€” a good place to eavesdrop on the adventures of visitors seated nearby. Chef Johan Svensson, born in Sweden, worked at New York's Aquavit and the Manhattan Nobu, and his Big Apple experience influences the taste profile of BLT's appetizers and seafood dishes for the better, with a chef's ""blackboard menu"" that changes nightly. Delicious upscale ""basics"" include perfectly charred steaks in many variations, from hanger to wagyu and Snake River-raised American Kobe. BLT's popular popovers and a raw bar are also a draw.","$$$$","www.bltsteak.com",,
20,"BOGART'S CAFE","This bustling Diamond Head eatery that serves breakfast all day long, offers an extensive menu of omelets, eggs Benedicts, pancakes and waffles, bagels and more, plus lunch fare such as pasta, sandwiches and salads. But the item that trumps them all is Bogart's acai bowl of granola, fresh blueberries, strawberries, bananas and honey. Those seeking a bit more heft might consider the crab and avocado or chicken veggie omelets, or avocado spinach or corned beef Benedicts, all customer favorites. Bogart's has also introduced a rib-eye loco moco that's been making waves. For rice lovers, there is Mama's fried rice, cooked up with asparagus, corn, mushrooms, spinach and scrambled eggs. The only limit to breakfast is that waffles aren't available after 3 p.m., nor potatoes after 5. Have a strategy when you go: Call ahead (there's a separate window for phone orders), bring cash (they don't take plastic) and tag team, with one person dropping off and circling, the other picking up. Consider it a bonus if you find parking nearby and a seat in the eatery.","$$","www.bogartscafe.webs.com",,
21,"BREWED",,,,,
22,"BUDNAMUJIP","The Hawaii outpost of a 37-year-old Korean restaurant that specializes in high-quality beef, shows pride in its meat cutters, who work in full view of diners, as well as its premium wagyu beef. Wait staff will do the cooking for you on a tabletop grill, ensuring the high-quality, high-priced meats are prepared right.","$$$$",,,
23,"CAFE DUCK BUTT",,,,,
24,"CAFE KAILA","Every week, Chrissie Kaila Castillo offers an eggs Benedict special and a waffle special - think corned beef Benedict, kalua pig Benedict and crabcake Benedict and waffles in flavors of lilikoi-orange, red velvet, peaches and cream, and chocolate mousse - and her customers love them. For all that, it's the buttermilk pancakes that keep her crew hopping. They can barely keep up. Needless to say, Cafe Kaila is a bustling venue. The lunch menu is also diverse, featuring everything from rib-eye, fish and chicken plates to pasta, salads and panini. Specials include a soup of the day paired with a sandwich.","$$","www.cafe-kaila-hawaii.com",,
25,"CAFE MAHARANI","A longtime go-to for northern Indian cuisine, Cafe Maharani offers an extensive menu featuring meat, vegetarian and rice dishes, many of which are made using a blend of dozens of herbs and spices. The lineup includes tandoori, kebab, curry, vindaloo and masala preparations and a dessert lineup. Customer favorites include the Lamb Roghan Josh, lamb marinated in yogurt and cooked in a mild cream sauce; Butter Chicken, in which the bird is cooked in a fenugreek-seasoned tomato butter sauce and Palak Paneer, a chef specialty of homemade cheese cooked with spinach and spices.","$$","www.cafemaharanihawaii.com",,
26,"CASABLANCA MOROCCAN CUISINE","Much more than great food is to be had at Casablanca, where diners sit on cushions amid carpeted walls and listen to exotic music, then proceed to eat a sumptuous five-course meal - with their hands. Meals are prix fixe, with a choice of entree. Popular selections include rack of lamb, Cornish hen cooked with preserved lemons and olives, and Moroccan-style fish coated in a rub made with cilantro, cayenne, cumin, coriander, paprika, garlic, onion and olive oil. A bonus for the evening are belly dancers, who occasionally treat guests to performances.","$$$-$$$$","",,
27,"CENTRAL BAKERY",,,,,
28,"CHAMPA THAI","The Phanphengdy family has been specializing in classic Thai dishes for the past 25 years and relying on word of mouth for advertising. It's paid off, as fresh and vibrant flavors have proved rave worthy. The menu lists 91 items, including spring and summer rolls, satays (barbecue sticks), salads, soups, curries, stir-fries, noodles, fried rice, fish and meat dishes and vegetarian options. Ever the must-haves: pad thai, panang curry, papaya salad, spring rolls.","$","www.champathai.com",,
29,"CHART HOUSE WAIKIKI","Stepping into Chart House Waikiki is a bit like traveling back in time. The pace is a little more relaxed in this little corner of Waikiki, where you can snack on pupu while enjoying the sunset over Ala Wai Boat Harbor and nearby Ala Moana Park. Get a little more fancy and settle in with some top-drawer A5 Miyazaki or Tajima New York Strip BMS Wagyu steak, Alaskan red king crab or live Maine lobster, or the Whole Fish Delight - one side is sliced up into sashimi, with the rest deep-fried. And we'd be remiss if we didn't mention the world-famous Guy Tai, the upscale mai tai created by longtime bartender Guy Maynard. After more than 35 years behind the bar, you can still find him at the Chart House mixing them up for customers and sending tourists away happy with take-home souvenir glasses.","$$-$$$","www.charthousewaikiki.com",,
30,"CHEF CHAI","Chef Chai Chaowasaree proves that delicious, vibrant, satisfying fare can also be healthful via the cuisine at his Chef Chai restaurant. Believe it or not, butter is nonexistent here, and fat and sodium are kept under control while vegetables and flavor abound. There are many heart-healthy options, and a sizable lineup of gluten-free dishes. Make no mistake, every diner can find something appealing. Fresh Ahi Tartare in Mini Waffle Cones may be a surprising appetizer, for instance, but there's also a familiar seafood tortellini with lobster sauce. The entree menu alone features amazing variety, from a vegetable stir-fry with tofu and cashews, to scallop pot pie with lobster reduction and grilled Mongolian lamb chops with mashed potatoes and brandy demi-glace. There's also an early-bird four-course dinner for $40 and late-night pupu.","$$$","www.chefchai.com",,
31,"CHEF MAVRO RESTAURANT","True artistry is at work at Chef Mavro, where owner-chef George Mavrothalassitis is passionate about creating new dishes for his seasonal menus. This menu is offered alongside a Hana Hou menu comprising some of the chef's most requested past dishes. These are rotated as well since over the years, Mavrothalassitis has created many favorites. Among the new offerings: Maine diver scallops crusted with very thin slices of slab bacon, sauteed until the bacon is crisp. It's served with chanterelle mushrooms and warabi in a velvety mushroom veloute. Then there's a dessert of poached fig in spiced Burgundy accompanied by a tapioca dumpling filled with toasted pistachio-fig marmalade and a side of pistachio ice cream. As for the Hana Hou menu, there's the chef's signature onaga baked in a salt crust. Mavrothalassitis calculated he's made this dish more than 80,000 times, yet diners still can't get enough. The four-course Hana Hou and seven-course seasonal menus are flexible; diners can move dishes from one menu to the other. Each comes with optional wine pairings. No matter what menu or items your party selects, Chef Mavro will surely surprise and delight everyone at the table.","$$$$"," www.chefmavro.com",,
32,"CHEZ KENZO","Think you don't care for uni or natto, two ""difficult"" foods that straddle the line between pungent and pleasant? Chez Kenzo may change your mind. Within the understated exterior of this casual bar is an impressive and creative menu of local and JapaÂ­nese tapas, and both Italian- and Asian-inspired pastas. The natto is made more palatable when folded into a fluffy, creamy egg-and-cheese omelet, while uni is stirred into a light pasta offering. Beyond these specialties, the 100-plus menu items offer much to love, from lunchtime loco mocos, ahi katsu and poke bowls, to such evening crowd pleasers as pumpkin and bacon sauteed with garlic, Nagoya-style chicken wings, filet mignon with wasabi and mayo-mentaiko pasta, all meant to be shared with friends. Happy hour from 5 to 7 p.m. daily promises comparable fare along with drink specials.","$$","www.chezkenzo.net",,
33,"CHOI'S GARDEN","A modest hideaway, placed behind its small parking lot in the blocks behind the Keeaumoku Street Walmart. Any skepticism engendered by the setting will be swept away, however, with the arrival of the fresh, inventive banchan, which makes use of seasonal ingredients and unusual (for Honolulu) items such as chestnut jelly and raw crab. Sets of meat for the grill are served in generous portions, with options including all beef items, tripe and pork belly. And the service is knowledgeable and prompt. A pleasure all 'round.","$$-$$$",,,
34,"CINNAMON'S RESTAURANT","Though regulars to this Kailua fixture appreciate the old-school lunches of baked spaghetti, Mandarin Orange Salad and Cashew Chicken Salad Sandwich, it's the breakfast fare that put Cinnamon's on the map. Perennial favorites, served all day, continue to be red velvet and guava chiffon pancakes, and a memorable version of kalua pig eggs Benedict. Other items to try: Portuguese sweet bread French toast and crabcake eggs Benedict. A second Cinnamon's just opened in the Ilikai Hotel with a limited menu. A full opening is set for November.","$$","www. cinnamons808.com",,
35,"COUNTER, THE","As if customers didn't have choices before, The Counter has increased all the ways they can have a burger - or sandwich, or salad, or bowl. Every category of options has been expanded, from cheeses (add to the list fresh mozzarella and manchego, to name just two) to sauces (sweet Sriracha is among the most popular) to toppings (think jicama and smoked jalapeno) to buns and protein (pretzel and ciabatta, and ahi, respectively). To the options for burgers in a bowl, add selections of kale and quinoa. There are also a couple more salad choices, new specialty burgers and shakes. There are even options for vegans, vegetarians and those who can't have gluten. But one thing has been standardized: All beef burgers are grass-fed Big Island beef.","$-$$","www.thecounterburger.com/honolulu",,
36,"CREAM POT","Though menu classics - such as baked eggs and Off-the-Wall Eggs Benedict, a sweet and savory dish of French bread with creme anglaise base, bacon, poached egg and salted caramel drizzle - continue to captivate customers, this French-Japanese breakfast stop never rests on its laurels. Joining its decadent lineup of eggs Benedicts is a new combo of applewood smoked bacon on French bread topped with avocado, pineapple and the shop's Morning Sauce, all served with the soup of the day. Monte cristo fans, meanwhile, can enjoy Cream Pot's interpretation, a triple-decker sandwich served on French toast with Gruyere, creme anglaise, serrano ham and pear, topped with maple syrup, seasonal preserves and sprinkled with powdered sugar. Also recommended: Strawberry Cheesecake Stuffed French Toast.","$$","",,
37,"D.K STEAK HOUSE","D.K. Kodama, the man behind Sansei Seafood Restaurant & Sushi Bar, knows his fish, but he also knows a good steak. The steaks here are dry-aged in-house, a process that results in tender and juicy cuts with more concentrated flavor and character. Go big with the restaurant's signature 22-ounce, bone-in rib-eye, its ""premier steak,"" dry-aged for 30 days. So tender and flavorful, it has everyone raving. Also recommended: the New York strip, wagyu Bresaola Carpaccio (with lemon aioli and local baby arugula, asparagus, cherry tomatoes and Thai basil), Asparagus Milanese (Waialua spears topped with a local egg, Italian bread crumbs and truffle oil), paniolo dry rub (can be added to any steak), sauteed Maui onions (Mom Kodama's recipe), Chocolate-Chocolate Decadence Cake and Delmonico Mudd Pie.","$$$$","www.dksteakhouse.com",,
38,"DA HUB",,,,,
39,"DA SPOT","Think of Da Spot, and the first word that comes to mind is ""flavor."" Indeed, flavor is manifested in everything from longtime favorites Moroccan roasted chicken, Egyptian lamb and Egyptian baked chicken; 20 different salads; 10 to 11 sandwich options and daily specials such as tomato-herb roasted lamb shank and garlic lemon butter red snapper. The eatery also delivers 36 vegan smoothies made from fresh local produce, in such flavors as lilikoi, lychee, coconut and acai. If you can't make it out to Moiliili, find Da Spot at farmers markets at Blaisdell Center (Wednesday), Kapiolani Community College (Saturday morning, Tuesday) and Kailua (Thursday) in a kiosk at the University of Hawaii sustainability courtyard the UH-West Oahu campus and Fort Shafter. Recommended: fresh-baked baklava and Malaysian curries.","$","",,
40,"DAGON","If you want an idea of what Burmese cuisine is like before heading to this restaurant, start by pulling out a map. Burma is bordered by India, Laos, Thailand and China, and the influences are all on the menu, from stir-fries to coconut and masala curries. That's quite a broad spectrum, and the amalgamation makes Burmese cuisine quite unique. Now you can sample the cuisine without packing your bags. Highlights here include the fish-noodle soup mohinga that is thickened with rice powder, a comfort dish on par with Chinese jook a coconut-chicken noodle soup and a well-textured green tea salad of lettuce, crunchy peanuts, toasted sesame seeds, green and yellow split peas, fried garlic, tomatoes and sunflower seeds, topped with fermented tea leaves.","$$","",,
41,"DEAN'S DRIVE INN","This bright Kaneohe spot continues to charm customers with its ever cheery decor and variety of tasty dishes. In fact, chef-owner Dean Mishima offers a menu for meat eaters and vegetarians alike. Favorites here include a new surf-and-turf combo of the eatery's best-selling items - ahi cakes and teri beef - and a daily local catch Â­cooked in Dean's classic ginger-soy sauce. Regulars also check in for baked goods by Doreen's (Dean's wife) especially the butter mochi with haupia, shortbread cookie topped with a brownie and shortbread with azuki. Also find Dean's food at sweet shop Sodakinegrindz, his latest venture, also in Kaneohe (45-726 Kamehameha Highway, 235-3500).","$-$$","",,
42,"DIAMOND HEAD MARKET & GRILL","It's not necessarily about the favorites at this gourmet market/deli/bakery/fast-food grill, though folks do love Diamond Head Market's portobello mushroom dishes, blueberry-cream cheese scones and Lemon Crunch Cake. Rather, the venue's broad customer base responds to the consistently high quality of whatever chef/owner Kelvin Ro and his crew put out. That means everything from meat dishes and sandwiches featuring meats roasted in-house, dressings and sauces, and fresh daily greens and wraps. The goal of the market is to put out as much variety as possible, because regulars know that even if their favorites are sold out, they can select something else with confidence - and they do. Tip: Call ahead as early as possible for takeout orders.","$-$$","www.diamondheadmarket.com",,
43,"DO-NE",,,,,
44,"DORAKU KAKAAKO","A convenient location near Blaisdell Arena, trendy atmosphere and approachable menu make Doraku Kakaako a fun pick for date night or a high-energy option for families or larger groups (just be sure to call ahead for reservations). Early and late happy hours are available for more budget-conscious diners. As is the case with Doraku's Waikiki location, the sushi always satisfies. Traditional nigiri, sashimi and donburi are consistently executed with quality ingredients, while the extensive list of specialty rolls allows the more adventurous to explore various flavor combinations. Give the White Dragon, Spicy Lobster, Geisha and Coral Reef rolls a try, but be sure to leave room for a side order of tempura - the lobster and firecracker shrimp versions are the best. Not a big seafood fan? Doraku offers plenty of other options, like ume shiso chicken, Japanese-style garlic steak, agedashi tofu and grilled king oyster mushrooms.","$$","www.dorakusushi.com",,
45,"DOWNBEAT DINER & LOUNGE","Enjoy the retro diner experience here, with its delicious selection of milkshakes and burgers, enhanced by vinyl booths and even a jukebox. But one look at the menu, and it's obvious this restaurant offers so much more. There are vegetarian and vegan options for every item on the menu, which includes fajita wraps, salads and breakfast burritos. Even the shakes can be delivered vegan, with soy ice cream and soy milk. Customer favorites: Oreo cookie, chai and Chunky Monkey shakes chicken; fajita wraps; and a breakfast burrito of egg, cheese, salsa, homefries and meat.","$","www.downbeatdiner.com",,
46,"EARL'S SANDWICH",,,,,
47,"EL RANCHO",,,,,
48,"ELENA'S RESTAURANT","It's all about the Filipino classics at this Waipahu eatery run by second-generation owner Mellissa Cedillo, but there are definitely certain dishes folks return for again and again: pork adobo fried rice omelette and the lechon special, a dish of roasted pork with tomatoes and onions, are among top selections. To accommodate hungry customers and ride the wave of popularity, Elena's now offers the Triple D, a combo plate of the fried-rice omelette and the lechon special. Other favorites at this family restaurant, named after Elena Butuyan, who opened the place with her husband, Theo, in 1974, are both beef and banana lumpia, sari sari, gisantes and squid guisado. If a trek to Waipahu isn't in the works, catch Elena's food truck on the last Friday of each month at Eat the Street at 555 South St.","$-$$","www.elenasrestaurant.com",,
49,"ETHIOPIAN LOVE",,,,,
50,"FENDU BOULANGERIE","True to its name - ""fendu"" refers to the split-loaf shape of French bread and ""boulangerie"" is a bakery that specializes in bread - chef/owner Niel Koep makes everything in-house, from bread and pizza dough to an array of pastries such as the pear almond tart and a cheesecake that woo customers back again and again. A savory favorite is Fendu's pot pie, a unique and harmonious mix of chicken, green papaya, Okinawan sweet potato and carrots. Koep's eggplant lasagna is also a perennial hit.","$","",,
51,"FOOK YUEN SEAFOOD RESTAURANT","As with most Chinese restaurants, Fook Yuen serves a wide selection of dishes. Find appetizers, soups, seafood, sizzling platters, house specials, hot-pot courses, chicken, beef, pork, vegetables, rice and noodles, and desserts. But because it's a seafood restaurant, those dishes are a particular source of pride. Among favorites are Dungeness crab and lobster cooked to order, honey walnut prawns and steamed fish. Satisfy a craving for seafood or Chinese virtually anytime, as the venue is open until 3 a.m. daily.","$-$$","",,
52,"FRESH CATCH","Chef/owner Reno Henriques hits all the marks for the local palate, with poke made with fresh isle fish, smoked meat and seafood dishes, plus new favorites such as pastele stew and smoked-meat fried rice. Fresh Catch has two locations, in Kaimuki and Kaneohe, as well as a food truck stationed in Campbell Industrial Park on the leeward side (91-165 Kalaleloa Blvd., in the same yard as RRR Recycling, 682-7653, 9 a.m. to 1:30 p.m. weekdays). Recommended: garlic chicken, ahi katsu, smoked meat and onions, pastele stew over french fries.","$","www.freshcatch808.com",,
53,"FUTAGO",,,,,
54,"GINA'S BAR-B-Q","This Korean-style takeout restaurant offers hefty portions of all the classics Hawaii folks have come to love, from barbecue meats and cold noodles to hot soups and stews. Most plates come with three scoops of rice as well as four banchan selections. Favorites: Every combo (if there isn't one to suit your fancy, customize), barbecue chicken and spicy pork.","$","www.ginasbbq.com",,
55,"GOLDEN DUCK","There can never be enough good Chinese places in Hawaii, and Moiliili is the lucky home of this one. Customers love Golden Duck's Peking duck, shrimp Canton, honey-glazed walnut shrimp, cold ginger chicken and salt-and-pepper pork chops. The crew also prides itself on the boneless minute chicken, cake noodles and duck noodles. Take note: The longtime Kahala location is now closed.","$","",,
56,"GREEK MARINA","If you're in need of winding down, you couldn't do much better than this venue, situated right on the marina. Whether dining outdoors or inside the restaurant, you'll appreciate the authentic Greek fare, which includes the always popular Greek lasagna, beef souvlakis, gyros, moussaka (layered eggplant and ground meat seasoned with spices and topped with a bechamel sauce) and lamb shank. Weekend specials include baked chicken, a customer favorite.","$$-$$$","www.greekrestauranthawaii.com",,
